시군구명,연령(구분),사업장가입자,지역가입자,임의가입자,임의계속가입자
경기도 오산시,30_34,5763,3784,19,0
경기도 오산시,35_39,5540,3463,67,0
경기도 시흥시,18_19,247,307,34,0
경기도 시흥시,20_24,4252,4932,95,0
경기도 시흥시,25_29,13069,7843,19,0
경기도 시흥시,30_34,16992,7752,51,0
경기도 시흥시,35_39,16505,6972,177,0
경기도 군포시,18_19,176,137,28,0
경기도 군포시,20_24,2004,2259,105,0
경기도 군포시,25_29,5363,4023,30,0
경기도 군포시,30_34,6652,3987,21,0
경기도 군포시,35_39,6085,2926,105,0
경기도 의왕시,18_19,52,82,23,0
경기도 의왕시,20_24,905,1386,54,0
경기도 의왕시,25_29,2782,2319,21,0
경기도 의왕시,30_34,3472,2253,20,0
경기도 의왕시,35_39,3513,1835,66,0
경기도 하남시,18_19,158,257,39,0
경기도 하남시,20_24,2049,2868,104,0
경기도 하남시,25_29,6540,4737,27,0
경기도 하남시,30_34,8452,5147,25,0
경기도 하남시,35_39,8337,4660,163,0
경기도 용인시,18_19,946,793,191,0
경기도 용인시,20_24,10827,11512,466,0
경기도 용인시,25_29,32105,16319,109,0
경기도 용인시,30_34,37704,13796,136,0
경기도 용인시,35_39,36331,11383,602,0
경기도 파주시,18_19,249,328,45,0
경기도 파주시,20_24,3849,4611,100,0
경기도 파주시,25_29,10739,7059,31,0
경기도 파주시,30_34,14075,7269,66,0
경기도 파주시,35_39,13379,6653,196,0
경기도 이천시,18_19,184,244,21,0
경기도 이천시,20_24,2783,2032,33,0
경기도 이천시,25_29,11840,2899,13,0
경기도 이천시,30_34,15716,2796,25,0
경기도 이천시,35_39,13659,2581,46,0
경기도 안성시,18_19,197,193,18,0
경기도 안성시,20_24,2358,2221,38,0
경기도 안성시,25_29,7009,2828,8,0
경기도 안성시,30_34,8947,2594,11,0
경기도 안성시,35_39,8183,2448,35,0
경기도 김포시,18_19,250,252,55,0
경기도 김포시,20_24,4230,3905,92,0
경기도 김포시,25_29,11701,6561,32,0
경기도 김포시,30_34,14992,6899,45,0
경기도 김포시,35_39,14443,6715,257,0
경기도 화성시,18_19,934,686,140,0
경기도 화성시,20_24,12690,8219,239,0
경기도 화성시,25_29,39438,11730,57,0
경기도 화성시,30_34,49714,11712,172,0
경기도 화성시,35_39,44493,11128,638,0
경기도 광주시,18_19,209,281,15,0
경기도 광주시,20_24,2863,3557,45,0
경기도 광주시,25_29,7293,5452,8,0
경기도 광주시,30_34,9245,5966,23,0
경기도 광주시,35_39,9366,5806,97,0
경기도 양주시,18_19,148,164,22,0
경기도 양주시,20_24,1813,2528,31,0
경기도 양주시,25_29,4653,3944,9,0
경기도 양주시,30_34,6043,4156,24,0
경기도 양주시,35_39,5925,3904,61,0
경기도 포천시,18_19,111,79,5,0
경기도 포천시,20_24,2041,1252,15,0
경기도 포천시,25_29,5007,1834,3,0
경기도 포천시,30_34,6169,1697,9,0
경기도 포천시,35_39,6059,1478,25,0
경기도 여주시,18_19,52,100,2,0
경기도 여주시,20_24,812,993,14,0
경기도 여주시,25_29,2265,1442,3,0
경기도 여주시,30_34,2790,1474,4,0
경기도 여주시,35_39,2705,1306,15,0
경기도 연천군,18_19,11,22,5,0
경기도 연천군,20_24,217,289,11,0
경기도 연천군,25_29,534,398,2,0
경기도 연천군,30_34,684,412,2,0
경기도 연천군,35_39,736,350,10,0
경기도 가평군,18_19,48,62,3,0
경기도 가평군,20_24,407,487,4,0
